koi_disposition,ra,dec,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_period,koi_duration,koi_depth,koi_prad,koi_insol,koi_teq,ra,dec,source
CONFIRMED,296.22195,50.28722,3688.0,4.79,0.473,15.937,11.59822233,2.5237,2804.5,2.65,5.82,396.0,296.22195,50.28722,Kepler
CONFIRMED,290.09805,50.321609,5992.0,4.415,0.989,15.312,6.575315881,4.3084,2793.3,5.31,251.38,1015.0,290.09805,50.321609,Kepler
CONFIRMED,295.45529,50.49456,5485.0,4.556,0.867,15.08,7.275040844,7.5377,3001.0,4.86,113.64,833.0,295.45529,50.49456,Kepler
CONFIRMED,293.97336,50.53191,4077.0,4.702,0.56,15.385,19.27153892,2.7594,1219.8,1.93,5.66,393.0,293.97336,50.53191,Kepler
CONFIRMED,293.97336,50.53191,4077.0,4.702,0.56,15.385,10.06524317,1.369,1053.3,1.91,13.43,488.0,293.97336,50.53191,Kepler
CONFIRMED,296.02133,50.56778,5557.0,4.603,0.75,15.505,12.3935651,3.8896,916.6,2.66,49.68,677.0,296.02133,50.56778,Kepler
CONFIRMED,300.86398,44.337551,5854.0,4.406,1.012,12.882,43.84439721,6.802,615.2,2.87,18.77,531.0,300.86398,44.337551,Kepler
FALSE POSITIVE,292.31595,38.27029,5295.0,4.551,0.811,15.629,3.341913228,3.813,725.3,21.55,268.67,1032.0,292.31595,38.27029,Kepler
FALSE POSITIVE,294.36819,38.31028,5735.0,4.41,0.973,15.279,1.626630225,2.1145,1620.6,32.43,1355.88,1547.0,294.36819,38.31028,Kepler
CONFIRMED,291.65353,38.494659,6214.0,4.442,1.076,15.541,2.711504086,3.0099,837.5,3.12,960.79,1420.0,291.65353,38.494659,Kepler
CONFIRMED,291.65353,38.494659,6214.0,4.442,1.076,15.541,7.21203748,4.0491,950.4,3.32,260.58,1025.0,291.65353,38.494659,Kepler
FALSE POSITIVE,291.0448,51.321671,5799.0,4.539,0.878,15.727,14.1798187,2.505,459.9,1.88,60.35,711.0,291.0448,51.321671,Kepler
CONFIRMED,296.36652,51.319519,5354.0,4.587,0.788,15.339,8.47237911,2.7245,1123.5,2.59,75.44,751.0,296.36652,51.319519,Kepler
CONFIRMED,296.36652,51.319519,5354.0,4.587,0.788,15.339,60.4189369,5.039,931.3,2.36,5.49,390.0,296.36652,51.319519,Kepler
CONFIRMED,289.11221,51.737381,5795.0,4.508,0.919,15.14,12.611904345,5.1497,6105.6,7.4,76.15,753.0,289.11221,51.737381,Kepler
FALSE POSITIVE,290.84369,37.728828,6017.0,4.22,1.339,15.122,1.433769925,1.8868,1976.3,46.58,3209.29,1920.0,290.84369,37.728828,Kepler
FALSE POSITIVE,291.84891,37.713501,5927.0,4.409,1.06,15.065,10.31872301,3.836,871.7,28.59,139.26,876.0,291.84891,37.713501,Kepler
CONFIRMED,291.43997,37.905659,5519.0,4.35,1.062,15.026,2.539183147,2.4282,382.1,2.06,743.09,1332.0,291.43997,37.905659,Kepler
CONFIRMED,290.87051,38.273628,5653.0,4.656,0.679,15.591,6.770300385,2.0844,1304.0,2.77,102.87,812.0,290.87051,38.273628,Kepler
FALSE POSITIVE,290.99689,38.28492,5255.0,4.678,0.636,15.748,0.444291966,2.0792,10967.0,27.51,2706.26,1836.0,290.99689,38.28492,Kepler
CANDIDATE,291.28195,38.241669,5988.0,4.541,0.836,15.657,10.181584004,3.5089,5741.1,7.73,102.91,812.0,291.28195,38.241669,Kepler
CONFIRMED,286.07913,39.27832,3950.0,4.754,0.493,15.954,20.06036336,3.3203,1494.7,1.96,4.0,361.0,286.07913,39.27832,Kepler
CONFIRMED,286.07913,39.27832,3950.0,4.754,0.493,15.954,46.1842039,4.758,1394.7,1.83,1.32,273.0,286.07913,39.27832,Kepler
CONFIRMED,300.86398,44.337551,5854.0,4.406,1.012,12.882,23.9800854,5.351,104.0,1.31,41.94,649.0,300.86398,44.337551,Kepler
CONFIRMED,286.07913,39.27832,3950.0,4.754,0.493,15.954,7.82502168,2.186,520.8,1.2,14.05,494.0,286.07913,39.27832,Kepler
CONFIRMED,294.65524,39.308361,5557.0,4.592,0.774,15.725,3.895936525,2.3111,8544.8,7.34,241.62,1005.0,294.65524,39.308361,Kepler
CONFIRMED,294.71063,39.52174,5395.0,4.615,0.734,15.583,22.36646466,5.228,986.8,2.32,19.45,536.0,294.71063,39.52174,Kepler
CONFIRMED,293.87192,38.422939,5539.0,4.322,1.106,15.001,1.625522174,2.38963,7969.0,9.73,1467.41,1579.0,293.87192,38.422939,Kepler
CANDIDATE,293.81619,38.563568,5710.0,4.492,0.905,15.562,19.620346923,2.0038,21725.0,13.6,40.39,643.0,293.81619,38.563568,Kepler
FALSE POSITIVE,293.94116,38.601101,5657.0,4.567,0.824,15.559,7.544039,6.222,322.6,17.47,116.46,838.0,293.94116,38.601101,Kepler
CONFIRMED,290.33362,38.72823,5349.0,4.526,0.82,15.387,9.02930689,3.1449,1019.8,2.57,77.75,757.0,290.33362,38.72823,Kepler
FALSE POSITIVE,287.69675,38.886452,5627.0,4.359,1.024,15.646,10.328035714,7.7915,16918.0,13.28,119.31,843.0,287.69675,38.886452,Kepler
CONFIRMED,285.28363,38.947281,5485.0,4.556,0.867,15.403,143.2063047,8.9302,10566.0,8.9,2.14,308.0,285.28363,38.947281,Kepler
CONFIRMED,300.86398,44.337551,5854.0,4.406,1.012,12.882,6.164876,3.262,55.8,0.79,256.35,1021.0,300.86398,44.337551,Kepler
CONFIRMED,285.28363,38.947281,5485.0,4.556,0.867,15.403,60.32494216,6.6188,20280.0,12.19,6.77,411.0,285.28363,38.947281,Kepler
CONFIRMED,285.28363,38.947281,5485.0,4.556,0.867,15.403,29.1598615,4.803,488.0,1.91,17.85,524.0,285.28363,38.947281,Kepler
FALSE POSITIVE,286.92639,38.921631,5663.0,4.53,0.915,15.974,1.540397253,2.1541,816.1,25.69,1105.68,1470.0,286.92639,38.921631,Kepler
FALSE POSITIVE,287.74881,38.92955,4667.0,4.578,0.731,15.842,2.99025443,5.414,589.2,1.7,168.45,918.0,287.74881,38.92955,Kepler
CONFIRMED,285.21381,39.027481,5934.0,4.491,0.893,15.53,1.594745374,1.9604,15044.0,11.3,1329.42,1539.0,285.21381,39.027481,Kepler
