kepid,kepoi_name,koi_disposition,koi_score,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,radius,density,esc_vel,temperature,ESI,ESI_n_components
5111801,K06521.01,FALSE POSITIVE,0.0,0.562006231,132.0289,0.678,3.496,14.2,0.58,2978,18708.86,12.8,1,6609,4.17,1.455,295.17368,40.290157,9.807,0.8385066558919498,,,6.236589667607127e-05,0.00723147422477294,2
5112198,K06522.01,FALSE POSITIVE,0.0,3.21559054,133.5375,1.153,16.261,202.4,18.8,1366,822.2,87.1,1,6300,4.414,1.036,295.25665,40.257511,14.128,0.2706998026034045,,,0.002777981430733205,0.027422600623124745,2
5115178,K06524.01,FALSE POSITIVE,0.0,12.8517221,132.8395131,1.15,5.71731,42519.0,47.26,781,88.01,1537.8,1,5838,4.438,0.967,295.84485,40.280869,15.205,0.1629079679565809,,,0.03172940019921187,0.07189556391693953,2
6046311,K06654.01,FALSE POSITIVE,0.0,0.957476003,131.91263,0.327,0.6624,450.7,2.47,2138,4953.98,20.2,2,6312,4.338,1.122,293.02133,41.355999,13.483,0.7304648069313063,,,0.0003276927348110569,0.015471522558124345,2
6048106,K06655.01,FALSE POSITIVE,0.0,1.559360638,132.53955,0.647,5.4458,280070.0,94.2,2234,5905.62,419.9,1,7002,4.193,1.488,293.55844,41.395351,14.091,0.11060226909161545,,,0.00026388815615123234,0.005402465072235899,2
6057750,K06657.01,CANDIDATE,0.184,1.6037058,131.9529,0.729,9.067,32.8,1.54,2492,9138.09,22.4,1,6400,3.877,2.512,296.104,41.36927,13.7,0.8726334954151859,,,0.00015324541736181743,0.011564042727731585,2
6060580,K06658.01,FALSE POSITIVE,0.0,2.313367981,133.1999763,1.247,2.42645,13438.0,33.55,1180,458.02,733.6,1,5508,4.598,0.764,296.76862,41.319538,13.46,0.1970932305434686,,,0.0054053779707069535,0.032639905124787545,2
6063448,K06659.01,FALSE POSITIVE,0.0,76.01811375,139.943296,0.788,13.4849,80671.0,63.58,652,42.65,604.3,1,6703,4.018,1.892,297.40732,41.329769,13.755,0.13798478916817447,,,0.06502854463257902,0.09472565661445499,2
8391983,K07884.01,CANDIDATE,0.118,0.70965042,131.97695,0.145,1.318,223.4,1.49,2036,4086.46,9.4,1,5618,4.373,1.002,299.77228,44.363022,15.444,0.8825787561567998,,,0.0004164471431558624,0.01917152580290765,2
6890618,K06787.01,FALSE POSITIVE,0.0,1.574063832,133.05514,1.237,5.6357,1118.1,28.63,1619,1622.84,145.3,1,5951,4.411,0.962,298.62164,42.39423,14.636,0.21512954376030768,,,0.0012554533801321845,0.01643426642354848,2
6927629,K06789.01,FALSE POSITIVE,0.0,3.867613816,135.3438766,0.553,5.36467,340910.0,69.23,1203,494.75,1379.1,1,5780,4.364,1.046,283.90543,42.441891,15.244,0.13154343442672922,,,0.004956238614896952,0.025533520110668652,2
6929016,K06790.01,FALSE POSITIVE,0.0,0.733726452,132.02005,0.291,2.309,114.6,0.86,1867,2891.64,13.8,1,5855,4.578,0.797,284.50391,42.46386,15.77,0.9563763687622634,,,0.0006346315602912586,0.02463628679678176,2
6936977,K06791.01,FALSE POSITIVE,0.0,36.47311505,159.7666622,1.003,2.91005,161930.0,53.1,467,11.24,1899.1,1,5452,4.594,0.766,287.95151,42.413189,14.359,0.15263869924797935,,,0.22090902934602774,0.18362806673139967,2
